Data,Status,Mensagem
2022-01-27,Respondido,"Olá, como vai? ótima empresa."
2022-01-04,Aberto,Estou bem chateado. Nunca mais compro de vocês!
2022-01-26,Ignorado,"Olá, como vai? Pior negócio que ja vi."
2022-01-06,Em Espera,Preciso que resolvam um problema. Pior negócio que ja vi.
2022-01-31,Ignorado,Você poderia nos mandar seus dados? Nunca mais compro de vocês!
2022-01-17,Aberto,Preciso que resolvam um problema. ótima empresa.
2022-01-15,Aberto,Você poderia nos mandar seus dados? ótima empresa.
2022-01-20,Aberto,Pior negócio que ja vi. Você poderia nos mandar seus dados?
2022-01-01,Respondido,Gostaria de fazer um pedido. Pior negócio que ja vi.
2022-01-28,Aberto,Você poderia nos mandar seus dados? Pior negócio que ja vi.
2022-01-28,Em Espera,"Gostaria de fazer um pedido. Olá, como vai?"
2022-01-20,Respondido,Preciso que resolvam um problema. Nunca mais compro de vocês!
2022-01-02,Ignorado,Pior negócio que ja vi. ótima empresa.
2022-01-13,Pendente,Nunca mais compro de vocês! Preciso que resolvam um problema.
2022-01-24,Fechado,Nunca mais compro de vocês! Você poderia nos mandar seus dados?
2022-01-05,Aberto,ótima empresa. Pior negócio que ja vi.
2022-01-29,Pendente,Nunca mais compro de vocês! Preciso que resolvam um problema.
2022-01-30,Aberto,Gostaria de fazer um pedido. ótima empresa.
2022-01-14,Em Espera,Pior negócio que ja vi. Nunca mais compro de vocês!
2022-01-12,Fechado,ótima empresa. Estou bem chateado.
2022-01-12,Fechado,Nunca mais compro de vocês! ótima empresa.
2022-01-15,Respondido,Você poderia nos mandar seus dados? Pior negócio que ja vi.
2022-01-19,Respondido,"Pior negócio que ja vi. Olá, como vai?"
2022-01-20,Ignorado,Gostaria de fazer um pedido. Preciso que resolvam um problema.
2022-01-24,Ignorado,ótima empresa. Nunca mais compro de vocês!
2022-01-31,Pendente,ótima empresa. Você poderia nos mandar seus dados?
2022-01-12,Ignorado,Você poderia nos mandar seus dados? Gostaria de fazer um pedido.
2022-01-03,Respondido,Estou bem chateado. Você poderia nos mandar seus dados?
2022-01-24,Em Espera,Nunca mais compro de vocês! Você poderia nos mandar seus dados?
2022-01-07,Fechado,Gostaria de fazer um pedido. Você poderia nos mandar seus dados?
2022-01-17,Pendente,Pior negócio que ja vi. ótima empresa.
2022-01-11,Em Espera,"Pior negócio que ja vi. Olá, como vai?"
2022-01-10,Pendente,Gostaria de fazer um pedido. Estou bem chateado.
2022-01-01,Respondido,Preciso que resolvam um problema. Estou bem chateado.
2022-01-16,Respondido,Nunca mais compro de vocês! Preciso que resolvam um problema.
2022-01-15,Ignorado,ótima empresa. Pior negócio que ja vi.
2022-01-18,Ignorado,"Olá, como vai? Pior negócio que ja vi."
2022-01-22,Fechado,ótima empresa. Preciso que resolvam um problema.
2022-01-25,Fechado,Nunca mais compro de vocês! Pior negócio que ja vi.
2022-01-09,Em Espera,Você poderia nos mandar seus dados? Pior negócio que ja vi.
2022-01-10,Fechado,Estou bem chateado. Nunca mais compro de vocês!
2022-01-11,Ignorado,Gostaria de fazer um pedido. Nunca mais compro de vocês!
2022-01-23,Ignorado,Pior negócio que ja vi. Preciso que resolvam um problema.
2022-01-19,Pendente,Estou bem chateado. ótima empresa.
2022-01-03,Em Espera,Você poderia nos mandar seus dados? ótima empresa.
2022-01-10,Respondido,Estou bem chateado. Pior negócio que ja vi.
2022-01-13,Fechado,Preciso que resolvam um problema. Nunca mais compro de vocês!
2022-01-07,Pendente,"Pior negócio que ja vi. Olá, como vai?"
2022-01-24,Pendente,Nunca mais compro de vocês! Gostaria de fazer um pedido.
2022-01-12,Aberto,"Preciso que resolvam um problema. Olá, como vai?"
2022-01-13,Em Espera,Nunca mais compro de vocês! Gostaria de fazer um pedido.
2022-01-08,Respondido,Gostaria de fazer um pedido. Preciso que resolvam um problema.
